source,host,sourcetype,eventtype,punct,process,"src_ip",action,"_raw","_time"
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'___'____()",named,,,"May  5 10:06:24 45.0.12.112 named[30381]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'name not in use' prerequisite not satisfied (YXDOMAIN)",1209996384
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:05:47 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209996347
"tcp:514","45.120.10.2",syslog,,"___::_...___::_.:_:__...:____________,__","HAL.IPv4Adj",,,"May  5 10:05:05 45.120.10.2 May 5 10:03:53 HAL.IPv4Adj: : adj 45.24.131.211: IP add error is Table full for new or newly resolved ARP, egress valid",1209996305
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:04:46 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209996286
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:04:45 45.0.12.112 named[30381]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209996285
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'___'____()",named,,,"May  5 10:04:45 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'name not in use' prerequisite not satisfied (YXDOMAIN)",1209996285
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:04:45 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209996285
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'___'____()",named,,,"May  5 10:04:45 45.0.12.112 named[30381]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'name not in use' prerequisite not satisfied (YXDOMAIN)",1209996285
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:03:49 45.0.12.112 named[30382]: client 216.231.45.51#2002: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209996229
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:03:45 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209996225
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:02:44 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209996164
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:01:43 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209996103
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:00:42 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209996042
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 09:59:41 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209995981
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 09:58:49 45.0.12.112 named[30382]: client 216.231.45.51#1987: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209995929
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 09:58:40 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209995920
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 09:58:40 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209995920
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'___'____()",named,,,"May  5 09:58:40 45.0.12.112 named[30381]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'name not in use' prerequisite not satisfied (YXDOMAIN)",1209995920
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 09:58:40 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209995920
